"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"SY07","Q1_3_select_governorate","counts","118","Key Characteristics","C3871","0","count and percentage"
"SY07","Q1_3_select_governorate","percentage","100","Key Characteristics","C3871","0","count and percentage"
"SY07","Q1_3_select_governorate","counts","98","Key Characteristics","C3947","0","count and percentage"
"SY07","Q1_3_select_governorate","percentage","100","Key Characteristics","C3947","0","count and percentage"
"SY07","Q1_3_select_governorate","counts","56","Key Characteristics","C4121","0","count and percentage"
"SY07","Q1_3_select_governorate","percentage","100","Key Characteristics","C4121","0","count and percentage"
"SY07","Q1_3_select_governorate","counts","79","Key Characteristics","C4126","0","count and percentage"
"SY07","Q1_3_select_governorate","percentage","100","Key Characteristics","C4126","0","count and percentage"
"SY07","Q1_3_select_governorate","counts","59","Key Characteristics","C4140","0","count and percentage"
"SY07","Q1_3_select_governorate","percentage","100","Key Characteristics","C4140","0","count and percentage"
"SY0700","Q1_4_Select_district","counts","118","Key Characteristics","C3871","0","count and percentage"
"SY0700","Q1_4_Select_district","percentage","100","Key Characteristics","C3871","0","count and percentage"
"SY0700","Q1_4_Select_district","counts","98","Key Characteristics","C3947","0","count and percentage"
"SY0700","Q1_4_Select_district","percentage","100","Key Characteristics","C3947","0","count and percentage"
"SY0703","Q1_4_Select_district","counts","56","Key Characteristics","C4121","0","count and percentage"
"SY0703","Q1_4_Select_district","percentage","100","Key Characteristics","C4121","0","count and percentage"
"SY0703","Q1_4_Select_district","counts","79","Key Characteristics","C4126","0","count and percentage"
"SY0703","Q1_4_Select_district","percentage","100","Key Characteristics","C4126","0","count and percentage"
"SY0703","Q1_4_Select_district","counts","59","Key Characteristics","C4140","0","count and percentage"
"SY0703","Q1_4_Select_district","percentage","100","Key Characteristics","C4140","0","count and percentage"
"SY070000","Q1_5_select_sub_district","counts","118","Key Characteristics","C3871","0","count and percentage"
"SY070000","Q1_5_select_sub_district","percentage","100","Key Characteristics","C3871","0","count and percentage"
"SY070005","Q1_5_select_sub_district","counts","98","Key Characteristics","C3947","0","count and percentage"
"SY070005","Q1_5_select_sub_district","percentage","100","Key Characteristics","C3947","0","count and percentage"
"SY070301","Q1_5_select_sub_district","counts","56","Key Characteristics","C4121","0","count and percentage"
"SY070301","Q1_5_select_sub_district","percentage","100","Key Characteristics","C4121","0","count and percentage"
"SY070301","Q1_5_select_sub_district","counts","79","Key Characteristics","C4126","0","count and percentage"
