"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","counts","116","Quality checks","C3871","RQ3 select No","count and percentage"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","percentage","98.31","Quality checks","C3871","RQ3 select No","count and percentage"
"yes","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","counts","2","Quality checks","C3871","RQ3 select No","count and percentage"
"yes","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","percentage","1.69","Quality checks","C3871","RQ3 select No","count and percentage"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","counts","92","Quality checks","C3947","RQ3 select No","count and percentage"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","percentage","93.88","Quality checks","C3947","RQ3 select No","count and percentage"
"yes","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","counts","6","Quality checks","C3947","RQ3 select No","count and percentage"
"yes","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","percentage","6.12","Quality checks","C3947","RQ3 select No","count and percentage"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","counts","56","Quality checks","C4121","RQ3 select No","count and percentage"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","percentage","100","Quality checks","C4121","RQ3 select No","count and percentage"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","counts","77","Quality checks","C4126","RQ3 select No","count and percentage"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","percentage","97.47","Quality checks","C4126","RQ3 select No","count and percentage"
"yes","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","counts","2","Quality checks","C4126","RQ3 select No","count and percentage"
"yes","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","percentage","2.53","Quality checks","C4126","RQ3 select No","count and percentage"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","counts","58","Quality checks","C4140","RQ3 select No","count and percentage"
"no","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","percentage","98.31","Quality checks","C4140","RQ3 select No","count and percentage"
"yes","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","counts","1","Quality checks","C4140","RQ3 select No","count and percentage"
"yes","Q11_3_Do_any_of_the_monitored_foods_display_signs_of_mold","percentage","1.69","Quality checks","C4140","RQ3 select No","count and percentage"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","counts","115","Quality checks","C3871","RQ3 select No","count and percentage"
"no","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","percentage","97.46","Quality checks","C3871","RQ3 select No","count and percentage"
"yes","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","counts","3","Quality checks","C3871","RQ3 select No","count and percentage"
"yes","Q11_4_Do_any_of_the_monitored_foods_display_signs_of_insect_infestation","percentage","2.54","Quality checks","C3871","RQ3 select No","count and percentage"
