"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"no","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","counts","5","Quality checks","C3871","RQ3 select yes","count and percentage"
"no","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","percentage","4.24","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","counts","113","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","percentage","95.76","Quality checks","C3871","RQ3 select yes","count and percentage"
"no","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","counts","6","Quality checks","C3947","RQ3 select yes","count and percentage"
"no","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","percentage","6.12","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","counts","92","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","percentage","93.88","Quality checks","C3947","RQ3 select yes","count and percentage"
"no","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","counts","2","Quality checks","C4121","RQ3 select yes","count and percentage"
"no","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","percentage","3.57","Quality checks","C4121","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","counts","54","Quality checks","C4121","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","percentage","96.43","Quality checks","C4121","RQ3 select yes","count and percentage"
"no","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","counts","6","Quality checks","C4126","RQ3 select yes","count and percentage"
"no","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","percentage","7.59","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","counts","73","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","percentage","92.41","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","counts","59","Quality checks","C4140","RQ3 select yes","count and percentage"
"yes","Q11_1_Are_food_items_in_the_shop_protected_from_exposure_to_weather_conditions_like_water_humidity_heat_direct_sunlight","percentage","100","Quality checks","C4140","RQ3 select yes","count and percentage"
"no","Q11_2_Are_food_items_in_the_shop_protected_from_chemicals","counts","2","Quality checks","C3871","RQ3 select yes","count and percentage"
"no","Q11_2_Are_food_items_in_the_shop_protected_from_chemicals","percentage","1.69","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_2_Are_food_items_in_the_shop_protected_from_chemicals","counts","116","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_2_Are_food_items_in_the_shop_protected_from_chemicals","percentage","98.31","Quality checks","C3871","RQ3 select yes","count and percentage"
