"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","98","Resell","C3871","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","83.05","Resell","C3871","RQ5","count and percentage"
"prefer_not_to_answer","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","13","Resell","C3871","RQ5","count and percentage"
"prefer_not_to_answer","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","11.02","Resell","C3871","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","7","Resell","C3871","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","5.93","Resell","C3871","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","79","Resell","C3947","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","80.61","Resell","C3947","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","19","Resell","C3947","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","19.39","Resell","C3947","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","52","Resell","C4121","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","92.86","Resell","C4121","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","4","Resell","C4121","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","7.14","Resell","C4121","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","69","Resell","C4126","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","87.34","Resell","C4126","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","10","Resell","C4126","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","12.66","Resell","C4126","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","41","Resell","C4140","RQ5","count and percentage"
"no","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","69.49","Resell","C4140","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","counts","18","Resell","C4140","RQ5","count and percentage"
"yes","Q10_1_Do_any_customers_offer_to_sell_the_items_they_received_from_humanitarian_aid_during_the_past_3_months","percentage","30.51","Resell","C4140","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","5","Resell","C3871","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","71.43","Resell","C3871","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","2","Resell","C3871","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","28.57","Resell","C3871","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","15","Resell","C3947","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","78.95","Resell","C3947","RQ5","count and percentage"
"prefer_not_to_answer","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","1","Resell","C3947","RQ5","count and percentage"
"prefer_not_to_answer","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","5.26","Resell","C3947","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","3","Resell","C3947","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","15.79","Resell","C3947","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","3","Resell","C4121","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","75","Resell","C4121","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","1","Resell","C4121","RQ5","count and percentage"
"yes","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","25","Resell","C4121","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","counts","6","Resell","C4126","RQ5","count and percentage"
"no","Q10_2_if_yes_did_you_accept_any_of_those_items_from_customers","percentage","60","Resell","C4126","RQ5","count and percentage"
